KOI_Name,Exoplanet_Archive_Disposition,Orbital_Period_[days],Transit_Epoch_[BKJD],Impact_Parameter,Transit_Duration_[hrs],Transit_Depth_[ppm],Planetary_Radius_[Earth_radii],Equilibrium_Temperature_[K],Insolation_Flux_[Earth_flux],Transit_Signal-to-Noise,Stellar_Effective_Temperature_[K],Stellar_Surface_Gravity_[log10(cm/s**2)],Stellar_Radius_[Solar_radii],RA_[decimal_degrees],Dec_[decimal_degrees],Kepler-band_[mag]
K01589.02,CONFIRMED,12.88291395,135.18736,0.962,5.676,460.5,3.15,865.0,132.23,33.6,6036.0,4.326,1.131,298.25204,40.496078,14.764
K01589.03,CONFIRMED,27.4345973,145.12322,0.603,5.038,472.6,2.56,672.0,48.29,25.3,6036.0,4.326,1.131,298.25204,40.496078,14.764
K01589.04,CONFIRMED,4.22453631,135.42908,0.823,3.128,159.1,1.6,1254.0,584.24,16.7,6036.0,4.326,1.131,298.25204,40.496078,14.764
K01589.05,CONFIRMED,44.5520266,160.29386,0.689,6.0,362.1,2.29,572.0,25.3,16.7,6036.0,4.326,1.131,298.25204,40.496078,14.764
K01677.01,CONFIRMED,52.069002,178.15525,0.275,3.0089,558.3,2.92,524.0,17.76,25.6,5565.0,4.251,1.246,289.67935,40.700459,14.279
K00191.02,CONFIRMED,2.418406841,132.505587,0.018,2.0744,665.4,2.25,1226.0,535.84,69.1,5422.0,4.484,0.887,295.28723,41.221958,14.991
K01680.01,FALSE POSITIVE,5.0825188,132.95792,0.522,3.328,105.0,0.88,968.0,207.45,17.1,5706.0,4.561,0.834,290.92316,40.77103,14.445
K01683.01,CONFIRMED,9.11500269,133.97523,0.675,4.558,268.3,1.78,906.0,159.34,21.7,5962.0,4.431,1.028,289.38351,41.392689,14.63
K01468.01,FALSE POSITIVE,8.48031942,135.85217,0.918,7.297,1426.7,4.54,918.0,168.01,92.8,5951.0,4.439,0.991,298.82254,46.650269,15.262
K00172.01,CONFIRMED,13.7223682,137.84083,0.009,5.1231,571.1,2.23,746.0,73.16,97.9,5637.0,4.399,0.943,293.26093,44.868889,13.749
K01469.01,FALSE POSITIVE,3.582076914,355.515064,0.966,4.4228,1534.4,5.33,1265.0,604.27,138.4,6109.0,4.422,0.993,296.07822,43.13694,15.193
K01470.01,CONFIRMED,15.43400996,363.29494,0.707,4.2572,1785.9,4.3,721.0,63.79,59.7,5900.0,4.509,0.951,297.35233,46.09594,15.703
K01471.01,FALSE POSITIVE,1.780984316,177.8249,0.782,2.173,590.9,2.33,1397.0,899.03,46.0,5730.0,4.545,0.87,288.76318,50.174221,15.516
K01534.02,CONFIRMED,7.63846084,138.24557,0.405,3.957,71.7,1.12,1089.0,333.3,16.6,6119.0,4.274,1.299,290.09082,39.81699,13.47
K01535.01,CONFIRMED,70.6981724,188.56795,0.026,6.632,357.7,1.63,417.0,7.11,37.7,5811.0,4.536,0.866,295.52121,49.738628,13.046
K01536.01,CONFIRMED,3.74443645,133.55997,0.169,2.9191,73.3,1.1,1328.0,736.89,25.4,5876.0,4.269,1.293,291.46732,50.75948,12.71
K01538.01,FALSE POSITIVE,10.581581895,183.008458,0.202,6.66929,112640.0,53.19,1098.0,342.98,1241.4,6168.0,4.074,1.567,296.62979,46.880203,13.936
K01539.01,FALSE POSITIVE,2.819453322,133.870141,0.532,4.4127,71867.0,29.8,1357.0,803.4,202.0,5767.0,4.33,1.074,284.664,43.98502,14.569
K01590.02,CONFIRMED,2.35574505,177.88824,0.5,1.796,266.9,1.34,1093.0,338.4,17.0,4915.0,4.512,0.812,294.36487,40.720879,15.674
K01591.01,CONFIRMED,19.65639342,140.29937,0.955,3.226,843.2,2.83,549.0,21.5,25.5,5288.0,4.613,0.74,297.73984,46.94191,15.372
K01684.01,FALSE POSITIVE,62.81584402,151.47691,1.31,2.6901,1688.4,57.62,582.0,27.14,54.6,6340.0,4.23,1.492,293.53448,41.329899,12.849
K01685.01,CONFIRMED,70.468171,189.15822,0.031,6.653,922.4,3.46,511.0,16.17,45.0,6461.0,4.396,1.131,293.87988,41.393822,14.811
K01687.01,CONFIRMED,3.93246069,132.55435,0.416,2.1763,455.5,1.65,894.0,151.31,30.6,4841.0,4.533,0.779,289.92072,41.542831,15.32
K01688.01,CONFIRMED,0.921030497,132.03171,0.025,2.6077,101.5,1.62,2362.0,7380.64,27.0,5843.0,4.069,1.615,298.48111,41.615341,14.542
K01692.01,CONFIRMED,5.960400011,137.265171,0.8,2.8617,828.3,2.85,890.0,148.26,126.1,5418.0,4.534,0.886,294.6741,42.075581,12.557
K01472.01,CONFIRMED,85.3514875,161.007608,0.052,6.7504,4674.7,6.31,390.0,5.44,142.8,5584.0,4.478,0.938,294.63239,43.400471,15.061
K01474.01,CONFIRMED,69.72646639,196.093243,0.019,3.7177,4491.2,11.65,613.0,33.3,300.7,6430.0,4.107,1.731,295.41788,51.184761,13.005
K01475.01,CONFIRMED,1.609321941,178.94178,0.016,1.6067,728.5,1.57,958.0,199.28,35.3,4224.0,4.662,0.603,297.43039,39.847839,15.937
K01475.02,CONFIRMED,9.51220046,185.47893,0.133,2.9497,1169.4,1.99,530.0,18.66,31.9,4224.0,4.662,0.603,297.43039,39.847839,15.937
K00003.01,CONFIRMED,4.887803076,124.8130808,0.054,2.36255,4315.8,4.82,800.0,96.67,862.3,4778.0,4.591,0.763,297.70935,48.080853,9.174
K00020.01,CONFIRMED,4.437962934,171.0091259,0.069,4.69813,16388.0,18.05,1338.0,757.65,3535.6,5953.0,4.175,1.415,286.24344,50.040379,13.438
K00179.01,CONFIRMED,20.74028645,142.80003,0.431,10.3939,1023.3,4.24,798.0,95.68,155.3,6226.0,4.264,1.299,297.04541,46.328701,13.955
K01540.01,FALSE POSITIVE,1.207852845,178.2142,1.113,3.5802,49720.0,38.59,1539.0,1331.31,205.9,5601.0,4.533,0.797,299.10327,40.8493,15.559
K01541.01,FALSE POSITIVE,2.379282197,133.651365,0.003,3.1729,48434.0,25.74,1571.0,1442.19,538.0,6392.0,4.399,1.162,293.19507,39.90728,15.189
K01592.01,FALSE POSITIVE,26.0692512,143.12549,1.206,7.487,831.5,23.61,591.0,28.85,59.7,5585.0,4.409,0.91,298.9024,40.31953,14.106
K01593.01,CONFIRMED,9.69501146,182.45413,0.293,2.75,515.2,2.08,833.0,114.06,18.3,5896.0,4.516,0.914,295.78516,40.439548,15.809
K01593.02,CONFIRMED,15.3825394,139.07648,0.015,3.815,550.5,2.14,714.0,61.61,18.4,5896.0,4.516,0.914,295.78516,40.439548,15.809
K01594.01,FALSE POSITIVE,1.818939148,133.12299,0.56,1.644,331.2,1.82,1549.0,1364.15,39.3,6153.0,4.487,0.962,293.87265,46.714951,15.134
K01595.01,CONFIRMED,40.1097817,142.08227,0.016,5.2096,732.0,3.11,556.0,22.65,40.3,5509.0,4.265,1.169,289.73169,46.953819,14.904
K01692.02,CONFIRMED,2.46106962,133.32138,0.575,2.184,84.2,0.84,1195.0,483.09,18.0,5418.0,4.534,0.886,294.6741,42.075581,12.557
